machine_id,location_id,store_name,month,game_type,location_type,distance_from_hq_miles,days_active,avg_bet,payout_rate,total_in,total_out,total_net,number_of_services,machine_swapouts,monthly_revenue
M0017,L040,Eagle Ridge Gaming,2025-06-01,Classic Reels,Gaming Hall,13.9,27,1.49,0.897,1877.52,1689.65,187.87,2,1,-400.18
M0140,L003,Lone Star Game Center,2026-04-01,A-Liner,Convenience Store,57.5,30,1.74,0.948,1200.0,1145.11,54.89,1,0,362.46
M0118,L018,Copper Creek Gaming,2025-01-01,Life of Luxury,Restaurant,18.0,21,2.24,0.915,3833.53,3388.67,444.86,1,0,-206.0
M0079,L021,Cedar Grove Gaming,2025-09-01,Classic Reels,Gaming Hall,50.0,26,1.2,0.858,2241.71,1876.7,365.01,0,0,87.87
M0078,L036,Greenfield Game Center,2026-03-01,Pot of Gold,Gaming Hall,32.5,23,2.45,,7874.12,6880.7,993.42,0,0,951.83
M0155,L006,Westfield Game Center,2026-06-01,Classic Reels,Bar,45.7,28,2.17,0.885,6494.25,5853.09,641.16,0,0,413.9
M0016,L020,Brazos Bend Gaming,2025-05-01,A-Liner,Restaurant,25.5,30,1.41,0.933,1200.0,1146.78,53.22,0,0,309.39
M0126,L007,Magnolia Gaming Hall,2025-12-01,Pot of Gold,Convenience Store,47.3,20,1.04,0.93,1200.0,1110.03,89.97,1,0,-739.41
M0037,L036,Greenfield Game Center,2025-04-01,Pot of Gold,Restaurant,76.9,21,0.86,0.902,1200.0,1079.94,120.06,0,0,-900.0
M0017,L029,Meadowbrook Gaming,2025-03-01,Classic Reels,Bar,113.5,31,1.8,0.896,3486.54,3088.93,397.61,1,0,903.74
M0095,L023,Willow Creek Gaming,2025-07-01,Life of Luxury,Gaming Hall,158.2,25,1.24,0.928,2506.56,2345.13,161.43,0,0,-124.37
M0176,L018,Copper Creek Gaming,2026-04-01,Video Poker,Convenience Store,15.3,23,2.31,,2092.31,1883.8,208.51,2,0,217.26
M0133,L007,Magnolia Gaming Hall,2026-01-01,Classic Reels,Gaming Hall,49.9,21,1.28,0.921,1200.0,1123.29,76.71,4,0,-900.0
M0138,L042,Market Square Gaming,2025-09-01,A-Liner,Restaurant,139.7,24,1.15,0.919,1200.0,1102.38,97.62,0,0,-431.43
